Category,Section,Location,Match Bytes,Match Value,Label,Code Unit
Identity,account,042483ad,41 63 63 6f 75 6e 74,Account,,"ds ""_ZNK2nn7friends6Friend12GetAccountIdEv"""
Identity,account,04248502,41 63 63 6f 75 6e 74,Account,,"ds ""_ZNK2nn7friends7Profile12GetAccountIdEv"""
Identity,account,0437b738,61 63 63 6f 75 6e 74,account,,"ds ""mnu_online_room_create_host_account"""
Identity,account,0438bc02,61 63 63 6f 75 6e 74,account,,"ds ""mnu_online_room_inside_account_nam"""
Identity,account,0424e63d,61 63 63 6f 75 6e 74,account,,"ds ""mnu_online_room_search_host_account"""
Identity,uid,01b36c80,55 69 44,UiD,,?? 55h    U
Identity,uid,043177ee,75 69 64,uid,,?? 75h    u
Identity,uid,043ffa42,75 69 64,uid,,?? 75h    u
Identity,uid,043ffdf5,75 69 64,uid,,?? 75h    u
Identity,uid,043cd063,75 69 64,uid,,"ds ""CrossGuideButton"""
Identity,uid,0441a5c2,55 49 44,UID,,"ds ""FIGHTER_INKLING_GENERATE_ARTICLE_SQUID"""
Identity,uid,04341662,55 49 44,UID,,"ds ""FIGHTER_INKLING_INSTANCE_WORK_ID_FLAG_EXIST_SQUID"""
Identity,uid,043f8853,55 49 44,UID,,"ds ""FIGHTER_INKLING_INSTANCE_WORK_ID_FLAG_NO_FLIP_SQUID"""
Identity,uid,043ebeeb,55 49 44,UID,,"ds ""FIGHTER_LUCAS_STATUS_SPECIAL_HI_WORK_INT_GUIDE_EFFECT_HANDLE"""
Identity,uid,043b1882,55 49 44,UID,,"ds ""FIGHTER_NESS_STATUS_SPECIAL_HI_WORK_INT_GUIDE_EFFECT_HANDLE"""
Identity,uid,04284883,55 49 44,UID,,"ds ""FIGHTER_PIKACHU_STATUS_WORK_ID_FLAG_QUICK_ATTACK_GUIDE_EFFECT_LAST_VISIBLE"""
Identity,uid,042b80b5,55 49 44,UID,,"ds ""FIGHTER_PIKACHU_STATUS_WORK_ID_INT_QUICK_ATTACK_GUIDE_EFFECT_HANDLE"""
Identity,uid,043654db,55 49 44,UID,,"ds ""FIGHTER_TRAIL_STATUS_SPECIAL_S_FLOAT_GUIDE_EFFECT_ANGLE_ATTACK"""
Identity,uid,043b781a,55 49 44,UID,,"ds ""FIGHTER_TRAIL_STATUS_SPECIAL_S_INT_SEARCH_GUIDE_EFFECT_HANDLE"""
Identity,uid,0485d044,75 69 64,uid,,"ds ""N2nu5GraphIN5boost5uuids4uuidENSt3__14pairINS_14InstanceHandleINS_14RenderPassBaseEEES8_EEEE"""
Identity,uid,0485d04a,75 69 64,uid,,"ds ""N2nu5GraphIN5boost5uuids4uuidENSt3__14pairINS_14InstanceHandleINS_14RenderPassBaseEEES8_EEEE"""
Identity,uid,042813f2,55 49 44,UID,,"ds ""SPECIAL_PAINT_SQUID_TO_HUMAN"""
Identity,uid,04256b34,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLAG_NO_FLIP"""
Identity,uid,043d723d,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLAG_START"""
